date,county,covid,reflu,deaths
10/24/2022,Jackson ,9,1,0
10/24/2022,Johnston ,42,8,0
10/24/2022,Jones ,0,,0
10/24/2022,Lee ,13,1,0
10/24/2022,Lenoir ,12,1,0
10/24/2022,Lincoln ,13,3,0
10/24/2022,Macon ,4,0,0
10/24/2022,Madison ,0,,0
10/24/2022,Martin ,3,0,0
10/24/2022,McDowell,0,,0
10/24/2022,Mecklenburg ,160,27,1
10/24/2022,Mitchell ,0,,0
10/24/2022,Montgomery ,8,1,0
10/24/2022,Moore ,20,3,0
10/24/2022,Nash ,14,2,0
10/24/2022,New Hanover,17,1,0
10/24/2022,Northampton ,2,1,0
10/24/2022,Onslow ,18,5,0
10/24/2022,Orange ,18,1,0
10/24/2022,Pamlico ,0,,0
10/24/2022,Pasquotank ,9,0,0
10/24/2022,Pender ,5,1,1
10/24/2022,Perquimans ,1,1,0
10/24/2022,Person ,2,0,0
10/24/2022,Pitt ,27,8,0
10/24/2022,Polk ,1,1,0
10/24/2022,Randolph ,13,2,0
10/24/2022,Richmond ,5,2,0
10/24/2022,Robeson ,32,10,0
10/24/2022,Rockingham ,15,0,0
10/24/2022,Rowan ,17,3,0
10/24/2022,Rutherford ,7,0,0
10/24/2022,Sampson ,20,2,0
10/24/2022,Scotland ,0,,0
10/24/2022,Stanly ,21,8,0
10/24/2022,Stokes ,18,2,0
10/24/2022,Surry ,19,3,0
10/24/2022,Swain ,4,0,0
10/24/2022,Transylvania ,4,1,0
10/24/2022,Tyrrell ,2,0,0
10/24/2022,Union ,41,8,0
10/24/2022,Vance ,12,4,0
10/24/2022,Wake ,141,18,0
10/24/2022,Warren ,0,,0
10/24/2022,Washington ,2,1,0
10/24/2022,Watauga ,6,0,0
10/24/2022,Wayne ,17,3,0
10/24/2022,Wilkes ,17,3,0
10/24/2022,Wilson ,15,3,0
10/24/2022,Yadkin ,15,2,0
10/24/2022,Yancey ,1,0,0
10/23/2022,Alamance ,11,2,0
10/23/2022,Alexander ,2,1,0
10/23/2022,Alleghany ,1,0,0
10/23/2022,Anson ,0,,0
10/23/2022,Ashe ,0,,0
10/23/2022,Avery ,0,,0
10/23/2022,Beaufort ,6,2,0
10/23/2022,Bertie ,1,0,0
10/23/2022,Bladen ,0,,0
10/23/2022,Brunswick ,11,2,0
10/23/2022,Buncombe ,21,4,0
10/23/2022,Burke ,1,0,0
10/23/2022,Cabarrus ,10,1,0
10/23/2022,Caldwell ,2,0,0
10/23/2022,Camden ,0,,0
10/23/2022,Carteret ,7,0,0
10/23/2022,Caswell ,0,,0
10/23/2022,Catawba ,9,3,0
10/23/2022,Chatham ,13,1,0
10/23/2022,Cherokee ,2,1,0
10/23/2022,Chowan ,0,,0
10/23/2022,Clay ,2,0,0
10/23/2022,Cleveland ,5,0,0
10/23/2022,Columbus ,1,0,0
10/23/2022,Craven ,6,0,0
10/23/2022,Cumberland ,18,1,0
10/23/2022,Currituck ,5,1,0
10/23/2022,Dare ,2,1,0
10/23/2022,Davidson ,17,4,0
10/23/2022,Davie ,2,1,0
